dataset,model,pre_trained,transfer_learning,optimizer,image_distortions,batch_size,epochs,learning_rate,momentum,accuracy,acc_per_class
SOYBEAN1,resnet18,True,True,Adam,True,4,7,0.01,0.9,72.03389830508475,"{'3bI': 10, '4hE': 0, '2bE': 0, '4bI': 8, 'pI': 13, '3bE': 7, '3hI': 4, '2hI': 13, '2hE': 7, '3hE': 8, '3mI': 2, 'pE': 13}"
SOYBEAN1,resnet18,True,True,Adam,True,4,8,0.01,0.9,67.79661016949153,"{'3bI': 6, '4hE': 2, '2bE': 2, '4bI': 10, 'pI': 14, '3bE': 6, '3hI': 8, '2hI': 8, '2hE': 9, '3hE': 4, '3mI': 1, 'pE': 10}"
SOYBEAN1,resnet18,True,True,Adam,True,4,9,0.01,0.9,79.66101694915254,"{'3bI': 10, '4hE': 3, '2bE': 1, '4bI': 11, 'pI': 14, '3bE': 7, '3hI': 7, '2hI': 12, '2hE': 7, '3hE': 9, '3mI': 1, 'pE': 12}"
SOYBEAN1,resnet18,True,True,Adam,True,4,10,0.01,0.9,77.11864406779661,"{'3bI': 10, '4hE': 0, '2bE': 2, '4bI': 14, 'pI': 14, '3bE': 5, '3hI': 3, '2hI': 13, '2hE': 8, '3hE': 9, '3mI': 2, 'pE': 11}"
SOYBEAN1,resnet18,True,True,Adam,True,4,11,0.01,0.9,67.79661016949153,"{'3bI': 2, '4hE': 2, '2bE': 1, '4bI': 15, 'pI': 14, '3bE': 3, '3hI': 6, '2hI': 13, '2hE': 1, '3hE': 9, '3mI': 1, 'pE': 13}"
SOYBEAN1,resnet18,True,True,Adam,True,4,12,0.01,0.9,79.66101694915254,"{'3bI': 9, '4hE': 2, '2bE': 1, '4bI': 11, 'pI': 14, '3bE': 6, '3hI': 7, '2hI': 13, '2hE': 9, '3hE': 9, '3mI': 1, 'pE': 12}"
SOYBEAN1,resnet18,True,True,Adam,True,4,13,0.01,0.9,77.96610169491525,"{'3bI': 9, '4hE': 2, '2bE': 1, '4bI': 11, 'pI': 14, '3bE': 6, '3hI': 7, '2hI': 13, '2hE': 9, '3hE': 10, '3mI': 1, 'pE': 9}"
SOYBEAN1,resnet18,True,True,Adam,True,4,14,0.01,0.9,76.27118644067797,"{'3bI': 10, '4hE': 1, '2bE': 1, '4bI': 11, 'pI': 14, '3bE': 7, '3hI': 4, '2hI': 14, '2hE': 5, '3hE': 9, '3mI': 1, 'pE': 13}"
SOYBEAN1,resnet18,True,True,Adam,True,4,15,0.01,0.9,74.57627118644068,"{'3bI': 9, '4hE': 0, '2bE': 2, '4bI': 14, 'pI': 13, '3bE': 6, '3hI': 3, '2hI': 14, '2hE': 9, '3hE': 10, '3mI': 0, 'pE': 8}"
SOYBEAN1,resnet18,True,True,Adam,True,4,16,0.01,0.9,68.64406779661017,"{'3bI': 9, '4hE': 0, '2bE': 0, '4bI': 11, 'pI': 14, '3bE': 6, '3hI': 7, '2hI': 7, '2hE': 5, '3hE': 8, '3mI': 1, 'pE': 13}"
SOYBEAN1,resnet18,True,True,Adam,True,4,17,0.01,0.9,75.42372881355932,"{'3bI': 8, '4hE': 1, '2bE': 0, '4bI': 12, 'pI': 13, '3bE': 7, '3hI': 7, '2hI': 13, '2hE': 7, '3hE': 9, '3mI': 0, 'pE': 12}"
SOYBEAN1,resnet18,True,True,Adam,True,4,18,0.01,0.9,73.72881355932203,"{'3bI': 10, '4hE': 1, '2bE': 1, '4bI': 9, 'pI': 14, '3bE': 8, '3hI': 7, '2hI': 13, '2hE': 6, '3hE': 10, '3mI': 1, 'pE': 7}"
SOYBEAN1,resnet18,True,True,Adam,True,4,19,0.01,0.9,72.03389830508475,"{'3bI': 9, '4hE': 0, '2bE': 1, '4bI': 10, 'pI': 13, '3bE': 6, '3hI': 7, '2hI': 13, '2hE': 7, '3hE': 8, '3mI': 1, 'pE': 10}"
SOYBEAN1,resnet18,True,True,Adam,True,4,20,0.01,0.9,77.96610169491525,"{'3bI': 9, '4hE': 2, '2bE': 1, '4bI': 12, 'pI': 14, '3bE': 5, '3hI': 7, '2hI': 13, '2hE': 6, '3hE': 9, '3mI': 1, 'pE': 13}"
SOYBEAN1,resnet18,True,True,Adam,True,4,21,0.01,0.9,75.42372881355932,"{'3bI': 9, '4hE': 0, '2bE': 1, '4bI': 14, 'pI': 14, '3bE': 5, '3hI': 4, '2hI': 12, '2hE': 9, '3hE': 8, '3mI': 1, 'pE': 12}"
SOYBEAN1,resnet18,True,True,Adam,True,4,22,0.01,0.9,76.27118644067797,"{'3bI': 6, '4hE': 3, '2bE': 1, '4bI': 11, 'pI': 13, '3bE': 6, '3hI': 7, '2hI': 13, '2hE': 9, '3hE': 8, '3mI': 1, 'pE': 12}"
SOYBEAN1,resnet18,True,True,Adam,True,4,23,0.01,0.9,73.72881355932203,"{'3bI': 11, '4hE': 0, '2bE': 2, '4bI': 12, 'pI': 14, '3bE': 6, '3hI': 1, '2hI': 13, '2hE': 9, '3hE': 8, '3mI': 1, 'pE': 10}"
SOYBEAN1,resnet18,True,True,Adam,True,4,24,0.01,0.9,73.72881355932203,"{'3bI': 11, '4hE': 0, '2bE': 1, '4bI': 12, 'pI': 14, '3bE': 6, '3hI': 1, '2hI': 14, '2hE': 8, '3hE': 9, '3mI': 0, 'pE': 11}"
SOYBEAN1,resnet18,True,True,Adam,True,4,25,0.01,0.9,70.33898305084746,"{'3bI': 8, '4hE': 0, '2bE': 0, '4bI': 13, 'pI': 14, '3bE': 7, '3hI': 7, '2hI': 10, '2hE': 5, '3hE': 5, '3mI': 1, 'pE': 13}"
SOYBEAN1,resnet18,True,True,Adam,True,4,26,0.01,0.9,77.96610169491525,"{'3bI': 9, '4hE': 2, '2bE': 2, '4bI': 9, 'pI': 14, '3bE': 7, '3hI': 7, '2hI': 13, '2hE': 8, '3hE': 10, '3mI': 1, 'pE': 10}"
SOYBEAN1,resnet18,True,True,Adam,True,4,27,0.01,0.9,77.11864406779661,"{'3bI': 10, '4hE': 3, '2bE': 1, '4bI': 10, 'pI': 14, '3bE': 7, '3hI': 6, '2hI': 12, '2hE': 5, '3hE': 9, '3mI': 1, 'pE': 13}"
SOYBEAN1,resnet18,True,True,Adam,True,4,28,0.01,0.9,68.64406779661017,"{'3bI': 7, '4hE': 1, '2bE': 1, '4bI': 14, 'pI': 14, '3bE': 3, '3hI': 6, '2hI': 13, '2hE': 10, '3hE': 8, '3mI': 1, 'pE': 3}"
SOYBEAN1,resnet18,True,True,Adam,True,4,29,0.01,0.9,71.1864406779661,"{'3bI': 7, '4hE': 1, '2bE': 1, '4bI': 10, 'pI': 14, '3bE': 8, '3hI': 3, '2hI': 13, '2hE': 4, '3hE': 9, '3mI': 1, 'pE': 13}"
SOYBEAN1,resnet18,True,False,Adam,True,4,0,0.01,0.9,25.423728813559322,"{'3bI': 0, '4hE': 0, '2bE': 0, '4bI': 0, 'pI': 0, '3bE': 0, '3hI': 0, '2hI': 14, '2hE': 8, '3hE': 8, '3mI': 0, 'pE': 0}"
SOYBEAN1,resnet18,True,False,Adam,True,4,1,0.01,0.9,28.8135593220339,"{'3bI': 3, '4hE': 0, '2bE': 0, '4bI': 2, 'pI': 14, '3bE': 6, '3hI': 0, '2hI': 0, '2hE': 0, '3hE': 0, '3mI': 0, 'pE': 9}"
SOYBEAN1,resnet18,True,False,Adam,True,4,2,0.01,0.9,19.491525423728813,"{'3bI': 0, '4hE': 0, '2bE': 0, '4bI': 0, 'pI': 1, '3bE': 1, '3hI': 2, '2hI': 10, '2hE': 3, '3hE': 0, '3mI': 0, 'pE': 6}"
SOYBEAN1,resnet18,True,False,Adam,True,4,3,0.01,0.9,19.491525423728813,"{'3bI': 0, '4hE': 0, '2bE': 0, '4bI': 5, 'pI': 0, '3bE': 3, '3hI': 0, '2hI': 13, '2hE': 2, '3hE': 0, '3mI': 0, 'pE': 0}"
SOYBEAN1,resnet18,True,False,Adam,True,4,4,0.01,0.9,19.491525423728813,"{'3bI': 0, '4hE': 0, '2bE': 0, '4bI': 0, 'pI': 0, '3bE': 8, '3hI': 0, '2hI': 14, '2hE': 0, '3hE': 1, '3mI': 0, 'pE': 0}"
SOYBEAN1,resnet18,True,False,Adam,True,4,5,0.01,0.9,24.576271186440678,"{'3bI': 1, '4hE': 0, '2bE': 0, '4bI': 3, 'pI': 14, '3bE': 4, '3hI': 0, '2hI': 1, '2hE': 2, '3hE': 4, '3mI': 0, 'pE': 0}"
SOYBEAN1,resnet18,True,False,Adam,True,4,6,0.01,0.9,31.35593220338983,"{'3bI': 1, '4hE': 0, '2bE': 0, '4bI': 4, 'pI': 13, '3bE': 0, '3hI': 0, '2hI': 3, '2hE': 0, '3hE': 3, '3mI': 0, 'pE': 13}"
SOYBEAN1,resnet18,True,False,Adam,True,4,7,0.01,0.9,26.271186440677965,"{'3bI': 0, '4hE': 0, '2bE': 0, '4bI': 0, 'pI': 14, '3bE': 0, '3hI': 0, '2hI': 0, '2hE': 0, '3hE': 7, '3mI': 0, 'pE': 10}"
SOYBEAN1,resnet18,True,False,Adam,True,4,8,0.01,0.9,26.271186440677965,"{'3bI': 3, '4hE': 0, '2bE': 0, '4bI': 15, 'pI': 0, '3bE': 0, '3hI': 0, '2hI': 2, '2hE': 1, '3hE': 10, '3mI': 0, 'pE': 0}"
SOYBEAN1,resnet18,True,False,Adam,True,4,9,0.01,0.9,36.440677966101696,"{'3bI': 0, '4hE': 0, '2bE': 0, '4bI': 15, 'pI': 13, '3bE': 0, '3hI': 0, '2hI': 0, '2hE': 0, '3hE': 1, '3mI': 0, 'pE': 14}"
SOYBEAN1,resnet18,True,False,Adam,True,4,10,0.01,0.9,23.728813559322035,"{'3bI': 3, '4hE': 0, '2bE': 0, '4bI': 0, 'pI': 14, '3bE': 0, '3hI': 0, '2hI': 1, '2hE': 0, '3hE': 10, '3mI': 0, 'pE': 0}"
SOYBEAN1,resnet18,True,False,Adam,True,4,11,0.01,0.9,32.20338983050848,"{'3bI': 1, '4hE': 0, '2bE': 0, '4bI': 15, 'pI': 0, '3bE': 2, '3hI': 1, '2hI': 9, '2hE': 0, '3hE': 10, '3mI': 0, 'pE': 0}"
SOYBEAN1,resnet18,True,False,Adam,True,4,12,0.01,0.9,38.13559322033898,"{'3bI': 3, '4hE': 0, '2bE': 0, '4bI': 9, 'pI': 7, '3bE': 1, '3hI': 0, '2hI': 13, '2hE': 0, '3hE': 6, '3mI': 0, 'pE': 6}"
SOYBEAN1,resnet18,True,False,Adam,True,4,13,0.01,0.9,34.74576271186441,"{'3bI': 0, '4hE': 0, '2bE': 0, '4bI': 8, 'pI': 14, '3bE': 0, '3hI': 0, '2hI': 5, '2hE': 0, '3hE': 9, '3mI': 0, 'pE': 5}"
SOYBEAN1,resnet18,True,False,Adam,True,4,14,0.01,0.9,42.3728813559322,"{'3bI': 7, '4hE': 0, '2bE': 0, '4bI': 12, 'pI': 9, '3bE': 0, '3hI': 0, '2hI': 11, '2hE': 1, '3hE': 10, '3mI': 0, 'pE': 0}"
SOYBEAN1,resnet18,True,False,Adam,True,4,15,0.01,0.9,34.74576271186441,"{'3bI': 1, '4hE': 0, '2bE': 0, '4bI': 9, 'pI': 14, '3bE': 2, '3hI': 0, '2hI': 6, '2hE': 0, '3hE': 7, '3mI': 0, 'pE': 2}"
SOYBEAN1,resnet18,True,False,Adam,True,4,16,0.01,0.9,38.13559322033898,"{'3bI': 0, '4hE': 0, '2bE': 0, '4bI': 7, 'pI': 13, '3bE': 0, '3hI': 0, '2hI': 11, '2hE': 5, '3hE': 4, '3mI': 0, 'pE': 5}"
SOYBEAN1,resnet18,True,False,Adam,True,4,17,0.01,0.9,31.35593220338983,"{'3bI': 6, '4hE': 0, '2bE': 0, '4bI': 12, 'pI': 6, '3bE': 10, '3hI': 0, '2hI': 3, '2hE': 0, '3hE': 0, '3mI': 0, 'pE': 0}"
SOYBEAN1,resnet18,True,False,Adam,True,4,18,0.01,0.9,44.067796610169495,"{'3bI': 0, '4hE': 0, '2bE': 0, '4bI': 8, 'pI': 13, '3bE': 0, '3hI': 0, '2hI': 14, '2hE': 0, '3hE': 6, '3mI': 0, 'pE': 11}"
SOYBEAN1,resnet18,True,False,Adam,True,4,19,0.01,0.9,46.610169491525426,"{'3bI': 8, '4hE': 0, '2bE': 0, '4bI': 11, 'pI': 9, '3bE': 2, '3hI': 0, '2hI': 12, '2hE': 10, '3hE': 3, '3mI': 0, 'pE': 0}"
SOYBEAN1,resnet18,True,False,Adam,True,4,20,0.01,0.9,40.67796610169491,"{'3bI': 11, '4hE': 0, '2bE': 0, '4bI': 15, 'pI': 2, '3bE': 0, '3hI': 1, '2hI': 6, '2hE': 0, '3hE': 10, '3mI': 0, 'pE': 3}"
SOYBEAN1,resnet18,True,False,Adam,True,4,21,0.01,0.9,37.28813559322034,"{'3bI': 0, '4hE': 0, '2bE': 0, '4bI': 14, 'pI': 2, '3bE': 0, '3hI': 2, '2hI': 12, '2hE': 0, '3hE': 8, '3mI': 0, 'pE': 6}"
SOYBEAN1,resnet18,True,False,Adam,True,4,22,0.01,0.9,43.220338983050844,"{'3bI': 1, '4hE': 0, '2bE': 0, '4bI': 11, 'pI': 13, '3bE': 0, '3hI': 0, '2hI': 13, '2hE': 4, '3hE': 8, '3mI': 0, 'pE': 1}"
SOYBEAN1,resnet18,True,False,Adam,True,4,23,0.01,0.9,46.610169491525426,"{'3bI': 6, '4hE': 0, '2bE': 0, '4bI': 14, 'pI': 14, '3bE': 4, '3hI': 0, '2hI': 6, '2hE': 2, '3hE': 1, '3mI': 0, 'pE': 8}"
SOYBEAN1,resnet18,True,False,Adam,True,4,24,0.01,0.9,42.3728813559322,"{'3bI': 10, '4hE': 0, '2bE': 0, '4bI': 15, 'pI': 5, '3bE': 2, '3hI': 0, '2hI': 5, '2hE': 0, '3hE': 9, '3mI': 0, 'pE': 4}"
SOYBEAN1,resnet18,True,False,Adam,True,4,25,0.01,0.9,51.69491525423729,"{'3bI': 1, '4hE': 0, '2bE': 0, '4bI': 14, 'pI': 14, '3bE': 8, '3hI': 0, '2hI': 12, '2hE': 0, '3hE': 5, '3mI': 0, 'pE': 7}"
SOYBEAN1,resnet18,True,False,Adam,True,4,26,0.01,0.9,49.152542372881356,"{'3bI': 8, '4hE': 0, '2bE': 0, '4bI': 8, 'pI': 11, '3bE': 0, '3hI': 1, '2hI': 13, '2hE': 0, '3hE': 6, '3mI': 0, 'pE': 11}"
SOYBEAN1,resnet18,True,False,Adam,True,4,27,0.01,0.9,50.847457627118644,"{'3bI': 3, '4hE': 0, '2bE': 0, '4bI': 15, 'pI': 14, '3bE': 2, '3hI': 0, '2hI': 12, '2hE': 0, '3hE': 6, '3mI': 0, 'pE': 8}"
SOYBEAN1,resnet18,True,False,Adam,True,4,28,0.01,0.9,52.54237288135593,"{'3bI': 6, '4hE': 0, '2bE': 0, '4bI': 14, 'pI': 12, '3bE': 2, '3hI': 0, '2hI': 11, '2hE': 7, '3hE': 2, '3mI': 2, 'pE': 6}"
SOYBEAN1,resnet18,True,False,Adam,True,4,29,0.01,0.9,54.23728813559322,"{'3bI': 3, '4hE': 0, '2bE': 0, '4bI': 15, 'pI': 14, '3bE': 2, '3hI': 0, '2hI': 12, '2hE': 1, '3hE': 9, '3mI': 0, 'pE': 8}"
SOYBEAN1,resnet18,False,False,Adam,True,4,0,0.01,0.9,25.423728813559322,"{'3bI': 0, '4hE': 0, '2bE': 2, '4bI': 10, 'pI': 0, '3bE': 0, '3hI': 0, '2hI': 14, '2hE': 0, '3hE': 4, '3mI': 0, 'pE': 0}"
SOYBEAN1,resnet18,False,False,Adam,True,4,1,0.01,0.9,31.35593220338983,"{'3bI': 6, '4hE': 0, '2bE': 0, '4bI': 0, 'pI': 0, '3bE': 0, '3hI': 0, '2hI': 14, '2hE': 0, '3hE': 8, '3mI': 0, 'pE': 9}"
SOYBEAN1,resnet18,False,False,Adam,True,4,2,0.01,0.9,40.67796610169491,"{'3bI': 8, '4hE': 0, '2bE': 0, '4bI': 0, 'pI': 11, '3bE': 0, '3hI': 0, '2hI': 14, '2hE': 0, '3hE': 1, '3mI': 0, 'pE': 14}"
SOYBEAN1,resnet18,False,False,Adam,True,4,3,0.01,0.9,37.28813559322034,"{'3bI': 0, '4hE': 0, '2bE': 0, '4bI': 6, 'pI': 14, '3bE': 0, '3hI': 0, '2hI': 14, '2hE': 10, '3hE': 0, '3mI': 0, 'pE': 0}"
SOYBEAN1,resnet18,False,False,Adam,True,4,4,0.01,0.9,24.576271186440678,"{'3bI': 0, '4hE': 0, '2bE': 0, '4bI': 0, 'pI': 14, '3bE': 0, '3hI': 0, '2hI': 0, '2hE': 0, '3hE': 1, '3mI': 0, 'pE': 14}"
SOYBEAN1,resnet18,False,False,Adam,True,4,5,0.01,0.9,24.576271186440678,"{'3bI': 11, '4hE': 0, '2bE': 0, '4bI': 1, 'pI': 0, '3bE': 0, '3hI': 0, '2hI': 0, '2hE': 0, '3hE': 5, '3mI': 0, 'pE': 12}"
SOYBEAN1,resnet18,False,False,Adam,True,4,6,0.01,0.9,24.576271186440678,"{'3bI': 1, '4hE': 0, '2bE': 0, '4bI': 3, 'pI': 0, '3bE': 0, '3hI': 0, '2hI': 14, '2hE': 6, '3hE': 5, '3mI': 0, 'pE': 0}"
SOYBEAN1,resnet18,False,False,Adam,True,4,7,0.01,0.9,52.54237288135593,"{'3bI': 7, '4hE': 0, '2bE': 0, '4bI': 12, 'pI': 14, '3bE': 8, '3hI': 2, '2hI': 14, '2hE': 5, '3hE': 0, '3mI': 0, 'pE': 0}"
SOYBEAN1,resnet18,False,False,Adam,True,4,8,0.01,0.9,41.52542372881356,"{'3bI': 7, '4hE': 0, '2bE': 0, '4bI': 0, 'pI': 14, '3bE': 0, '3hI': 0, '2hI': 14, '2hE': 0, '3hE': 0, '3mI': 0, 'pE': 14}"
SOYBEAN1,resnet18,False,False,Adam,True,4,9,0.01,0.9,55.932203389830505,"{'3bI': 11, '4hE': 0, '2bE': 0, '4bI': 15, 'pI': 14, '3bE': 7, '3hI': 0, '2hI': 12, '2hE': 3, '3hE': 4, '3mI': 0, 'pE': 0}"
SOYBEAN1,resnet18,False,False,Adam,True,4,10,0.01,0.9,47.45762711864407,"{'3bI': 4, '4hE': 0, '2bE': 0, '4bI': 11, 'pI': 14, '3bE': 7, '3hI': 0, '2hI': 14, '2hE': 0, '3hE': 6, '3mI': 0, 'pE': 0}"
SOYBEAN1,resnet18,False,False,Adam,True,4,11,0.01,0.9,60.16949152542373,"{'3bI': 8, '4hE': 0, '2bE': 0, '4bI': 13, 'pI': 14, '3bE': 7, '3hI': 5, '2hI': 14, '2hE': 2, '3hE': 2, '3mI': 1, 'pE': 5}"
SOYBEAN1,resnet18,False,False,Adam,True,4,12,0.01,0.9,54.23728813559322,"{'3bI': 4, '4hE': 0, '2bE': 0, '4bI': 7, 'pI': 14, '3bE': 2, '3hI': 6, '2hI': 14, '2hE': 0, '3hE': 4, '3mI': 0, 'pE': 13}"
SOYBEAN1,resnet18,False,False,Adam,True,4,13,0.01,0.9,48.30508474576271,"{'3bI': 0, '4hE': 0, '2bE': 0, '4bI': 12, 'pI': 14, '3bE': 2, '3hI': 0, '2hI': 14, '2hE': 6, '3hE': 8, '3mI': 0, 'pE': 1}"
SOYBEAN1,resnet18,False,False,Adam,True,4,14,0.01,0.9,53.389830508474574,"{'3bI': 8, '4hE': 0, '2bE': 0, '4bI': 13, 'pI': 11, '3bE': 2, '3hI': 3, '2hI': 14, '2hE': 0, '3hE': 10, '3mI': 0, 'pE': 2}"
SOYBEAN1,resnet18,False,False,Adam,True,4,15,0.01,0.9,47.45762711864407,"{'3bI': 11, '4hE': 0, '2bE': 0, '4bI': 14, 'pI': 8, '3bE': 3, '3hI': 2, '2hI': 4, '2hE': 11, '3hE': 0, '3mI': 0, 'pE': 3}"
SOYBEAN1,resnet18,False,False,Adam,True,4,16,0.01,0.9,59.32203389830509,"{'3bI': 11, '4hE': 0, '2bE': 0, '4bI': 10, 'pI': 13, '3bE': 2, '3hI': 0, '2hI': 14, '2hE': 7, '3hE': 4, '3mI': 0, 'pE': 9}"
SOYBEAN1,resnet18,False,False,Adam,True,4,17,0.01,0.9,51.69491525423729,"{'3bI': 11, '4hE': 0, '2bE': 0, '4bI': 11, 'pI': 1, '3bE': 5, '3hI': 0, '2hI': 14, '2hE': 4, '3hE': 9, '3mI': 0, 'pE': 6}"
SOYBEAN1,resnet18,False,False,Adam,True,4,18,0.01,0.9,46.610169491525426,"{'3bI': 3, '4hE': 0, '2bE': 0, '4bI': 11, 'pI': 9, '3bE': 1, '3hI': 0, '2hI': 14, '2hE': 0, '3hE': 10, '3mI': 0, 'pE': 7}"
SOYBEAN1,resnet18,False,False,Adam,True,4,19,0.01,0.9,62.71186440677966,"{'3bI': 11, '4hE': 0, '2bE': 2, '4bI': 12, 'pI': 14, '3bE': 4, '3hI': 6, '2hI': 10, '2hE': 0, '3hE': 5, '3mI': 1, 'pE': 9}"
SOYBEAN1,resnet18,False,False,Adam,True,4,20,0.01,0.9,55.08474576271186,"{'3bI': 8, '4hE': 2, '2bE': 0, '4bI': 10, 'pI': 11, '3bE': 5, '3hI': 4, '2hI': 9, '2hE': 7, '3hE': 6, '3mI': 0, 'pE': 3}"
SOYBEAN1,resnet18,False,False,Adam,True,4,21,0.01,0.9,54.23728813559322,"{'3bI': 5, '4hE': 0, '2bE': 2, '4bI': 7, 'pI': 14, '3bE': 1, '3hI': 4, '2hI': 14, '2hE': 2, '3hE': 9, '3mI': 2, 'pE': 4}"
SOYBEAN1,resnet18,False,False,Adam,True,4,22,0.01,0.9,66.10169491525424,"{'3bI': 9, '4hE': 1, '2bE': 0, '4bI': 11, 'pI': 14, '3bE': 5, '3hI': 5, '2hI': 14, '2hE': 0, '3hE': 3, '3mI': 2, 'pE': 14}"
SOYBEAN1,resnet18,False,False,Adam,True,4,23,0.01,0.9,62.71186440677966,"{'3bI': 11, '4hE': 0, '2bE': 0, '4bI': 9, 'pI': 3, '3bE': 6, '3hI': 6, '2hI': 12, '2hE': 4, '3hE': 8, '3mI': 2, 'pE': 13}"
SOYBEAN1,resnet18,False,False,Adam,True,4,24,0.01,0.9,52.54237288135593,"{'3bI': 5, '4hE': 0, '2bE': 0, '4bI': 8, 'pI': 14, '3bE': 3, '3hI': 5, '2hI': 12, '2hE': 2, '3hE': 10, '3mI': 0, 'pE': 3}"
SOYBEAN1,resnet18,False,False,Adam,True,4,25,0.01,0.9,72.03389830508475,"{'3bI': 10, '4hE': 1, '2bE': 0, '4bI': 12, 'pI': 14, '3bE': 6, '3hI': 6, '2hI': 14, '2hE': 7, '3hE': 7, '3mI': 3, 'pE': 5}"
SOYBEAN1,resnet18,False,False,Adam,True,4,26,0.01,0.9,55.932203389830505,"{'3bI': 11, '4hE': 0, '2bE': 0, '4bI': 8, 'pI': 14, '3bE': 3, '3hI': 8, '2hI': 1, '2hE': 10, '3hE': 5, '3mI': 0, 'pE': 6}"
SOYBEAN1,resnet18,False,False,Adam,True,4,27,0.01,0.9,66.94915254237289,"{'3bI': 9, '4hE': 2, '2bE': 2, '4bI': 8, 'pI': 14, '3bE': 7, '3hI': 4, '2hI': 13, '2hE': 6, '3hE': 9, '3mI': 3, 'pE': 2}"
SOYBEAN1,resnet18,False,False,Adam,True,4,28,0.01,0.9,59.32203389830509,"{'3bI': 11, '4hE': 1, '2bE': 0, '4bI': 8, 'pI': 14, '3bE': 4, '3hI': 3, '2hI': 10, '2hE': 4, '3hE': 10, '3mI': 0, 'pE': 5}"
SOYBEAN1,resnet18,False,False,Adam,True,4,29,0.01,0.9,61.016949152542374,"{'3bI': 11, '4hE': 0, '2bE': 2, '4bI': 12, 'pI': 14, '3bE': 5, '3hI': 7, '2hI': 4, '2hE': 0, '3hE': 9, '3mI': 0, 'pE': 8}"
SOYBEAN1,resnet18,True,True,Adam,True,4,0,0.001,0.9,49.152542372881356,"{'3bI': 4, '4hE': 0, '2bE': 0, '4bI': 10, 'pI': 14, '3bE': 1, '3hI': 1, '2hI': 14, '2hE': 2, '3hE': 0, '3mI': 0, 'pE': 12}"
SOYBEAN1,resnet18,True,True,Adam,True,4,1,0.001,0.9,60.16949152542373,"{'3bI': 4, '4hE': 0, '2bE': 0, '4bI': 15, 'pI': 14, '3bE': 5, '3hI': 1, '2hI': 14, '2hE': 1, '3hE': 4, '3mI': 0, 'pE': 13}"
SOYBEAN1,resnet18,True,True,Adam,True,4,2,0.001,0.9,64.40677966101696,"{'3bI': 6, '4hE': 0, '2bE': 0, '4bI': 10, 'pI': 14, '3bE': 7, '3hI': 1, '2hI': 14, '2hE': 3, '3hE': 9, '3mI': 0, 'pE': 12}"
SOYBEAN1,resnet18,True,True,Adam,True,4,3,0.001,0.9,65.2542372881356,"{'3bI': 10, '4hE': 0, '2bE': 0, '4bI': 11, 'pI': 14, '3bE': 2, '3hI': 0, '2hI': 14, '2hE': 5, '3hE': 10, '3mI': 0, 'pE': 11}"
SOYBEAN1,resnet18,True,True,Adam,True,4,4,0.001,0.9,69.49152542372882,"{'3bI': 7, '4hE': 1, '2bE': 0, '4bI': 13, 'pI': 14, '3bE': 5, '3hI': 0, '2hI': 14, '2hE': 5, '3hE': 10, '3mI': 0, 'pE': 13}"
SOYBEAN1,resnet18,True,True,Adam,True,4,5,0.001,0.9,69.49152542372882,"{'3bI': 8, '4hE': 1, '2bE': 1, '4bI': 13, 'pI': 14, '3bE': 5, '3hI': 0, '2hI': 14, '2hE': 4, '3hE': 10, '3mI': 1, 'pE': 11}"
SOYBEAN1,resnet18,True,True,Adam,True,4,6,0.001,0.9,72.88135593220339,"{'3bI': 7, '4hE': 1, '2bE': 1, '4bI': 14, 'pI': 14, '3bE': 5, '3hI': 1, '2hI': 14, '2hE': 6, '3hE': 10, '3mI': 3, 'pE': 10}"
SOYBEAN1,resnet18,True,True,Adam,True,4,7,0.001,0.9,70.33898305084746,"{'3bI': 5, '4hE': 0, '2bE': 1, '4bI': 14, 'pI': 14, '3bE': 6, '3hI': 2, '2hI': 14, '2hE': 8, '3hE': 10, '3mI': 3, 'pE': 6}"
SOYBEAN1,resnet18,True,True,Adam,True,4,8,0.001,0.9,66.94915254237289,"{'3bI': 9, '4hE': 2, '2bE': 1, '4bI': 8, 'pI': 14, '3bE': 2, '3hI': 1, '2hI': 13, '2hE': 7, '3hE': 10, '3mI': 1, 'pE': 11}"
SOYBEAN1,resnet18,True,True,Adam,True,4,9,0.001,0.9,69.49152542372882,"{'3bI': 8, '4hE': 1, '2bE': 1, '4bI': 11, 'pI': 14, '3bE': 6, '3hI': 1, '2hI': 13, '2hE': 3, '3hE': 10, '3mI': 0, 'pE': 14}"
SOYBEAN1,resnet18,True,True,Adam,True,4,10,0.001,0.9,66.94915254237289,"{'3bI': 5, '4hE': 1, '2bE': 1, '4bI': 13, 'pI': 14, '3bE': 3, '3hI': 2, '2hI': 13, '2hE': 6, '3hE': 10, '3mI': 0, 'pE': 11}"
SOYBEAN1,resnet18,True,True,Adam,True,4,11,0.001,0.9,67.79661016949153,"{'3bI': 5, '4hE': 1, '2bE': 1, '4bI': 13, 'pI': 14, '3bE': 3, '3hI': 3, '2hI': 14, '2hE': 6, '3hE': 10, '3mI': 1, 'pE': 9}"
SOYBEAN1,resnet18,True,True,Adam,True,4,12,0.001,0.9,67.79661016949153,"{'3bI': 5, '4hE': 1, '2bE': 1, '4bI': 13, 'pI': 14, '3bE': 6, '3hI': 4, '2hI': 9, '2hE': 7, '3hE': 10, '3mI': 1, 'pE': 9}"
